,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,2000 Notes,2000 Source,2001 Notes,2001 Source,2002 Notes,2002 Source,2003 Notes,2003 Source,2004 Notes,2004 Source,2005 Notes,2005 Source,2006 Notes,2006 Source,2007 Notes,2007 Source,2008 Notes,2008 Source,2009 Notes,2009 Source,2010 Notes,2010 Source
Afghanistan,0.0,0.0,25000.0,200000.0,600000.0,1200000.0,2520366.0,4668096.0,7898909.0,12000000.0,13000000.0,,0.00,0.00,0.10,0.78,2.25,4.35,8.87,16.02,26.47,39.24,41.39,,,Ministry of Communications.,,Ministry of Communications.,,TSI.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Africa & Middle East Telecom Week.,,Ministry of Communications.,,Ministry of Communications.,,ITU estimate. 
Albania,29791.0,392650.0,851000.0,1100000.0,1259590.0,1530244.0,1909885.0,2322436.0,3141187.0,4161615.0,4547807.0,,0.97,12.76,27.54,35.41,40.31,48.71,60.50,73.27,98.74,130.35,141.93,,,,,,,,,,,,,,,,,Ministry of Transport and Telecommunications.,,Ministry of Transport and Telecommunications.,,Ministry of Transport and Telecommunications.,,Minister for Innovation and ICT
Algeria,86000.0,100000.0,450244.0,1446927.0,4882414.0,13661355.0,20997954.0,27562721.0,27031472.0,32729824.0,32780165.0,,0.28,0.32,1.43,4.53,15.07,41.54,62.88,81.29,78.52,93.65,92.42,,,Ministère des Postes et Télécommunications (MPT).,,Ministère des Postes et Télécommunications (MPT).,,Ministère des Postes et Télécommunications (MPT).,,Ministère des Postes et Télécommunications (MPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télécommunications
American Samoa,1992.0,2156.0,2036.0,2100.0,2250.0,,,,,,,,3.46,3.68,3.41,3.46,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,23543.0,29429.0,32790.0,51893.0,58366.0,64560.0,69004.0,63503.0,64202.0,64549.0,65495.0,,36.43,44.33,47.49,71.87,77.52,82.89,86.39,78.02,77.75,77.14,77.18,,,,,,,,,,,,,,,,,Servei de Telecomunicacions d'Andorra (STA). ,,Servei de Telecomunicacions d'Andorra (STA). ,,Servei de Telecomunicacions d'Andorra (STA). ,,Servei de Telecomunicacions d'Andorra
Angola,25806.0,75000.0,140000.0,350000.0,740000.0,1611118.0,3054620.0,4961536.0,6773356.0,8109421.0,8909200.0,,0.19,0.52,0.94,2.27,4.64,9.77,17.96,28.31,37.55,43.70,46.69,,,Empresa de Telecommunicações de Angola.,,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,June.,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,,Instituto Angolano das Comunicações.,,ITU estimate.
Anguilla,2163.0,1773.0,3042.0,4427.0,7229.0,13061.0,17150.0,23526.0,26484.0,24820.0,24000.0,,19.54,15.42,25.34,35.28,55.25,96.22,122.43,163.45,179.71,164.86,156.27,,,Cable and Wireless (W.I.) Ltd  (C&W).,,Cable and Wireless (W.I.) Ltd  (C&W).,,Public Utilities Commission.,,Public Utilities Commission.,Active subscribers only.,Cable and Wireless (W.I.) Ltd  (C&W).,Active subscribers only.,Cable and Wireless (W.I.) Ltd  (C&W).,,Public Utilities Commission.,,"Ministry of Infrastructure, Communication & Utilities",,"Ministry of Infrastructure, Communication & Utilities",,"Ministry of Infrastructure, Communication & Utilities",,ITU estimate.
Antigua & Barbuda,22000.0,25000.0,38205.0,46100.0,54000.0,86000.0,110177.0,112381.0,136592.0,134925.0,163861.0,,28.33,31.58,47.46,56.41,65.19,102.48,129.69,130.77,157.22,153.67,184.72,,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,Data at 31st December 2001.,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Caribbean Telecommunications Union.,,ITU estimate.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,Decrease due to purge of subscribers whose services are dormant for 6 months or more.,"Ministry of Information, Broadcasting, Telecommunications, Science & Technology.",,"Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology"
Argentina,6487950.0,6741791.0,6566740.0,7842233.0,13512383.0,22156426.0,31510390.0,40401771.0,46508774.0,52482780.0,57300000.0,,17.57,18.07,17.44,20.64,35.24,57.28,80.75,102.63,117.11,131.00,141.79,,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones.,,Comisión Nacional de Comunicaciones,,ITU estimate.
Armenia,17486.0,25504.0,71349.0,114379.0,203309.0,318044.0,1259762.0,1876411.0,2336000.0,2620000.0,3865355.0,,0.57,0.83,2.33,3.74,6.64,10.37,41.04,61.04,75.87,84.93,125.01,,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,RCC.,,RCC.,,ITU estimate.,,ITU estimate. ,,Ministry of Transport and Communication. 
Aruba,15000.0,53000.0,61800.0,69952.0,98389.0,103417.0,109030.0,113586.0,120806.0,128000.0,131800.0,,16.62,57.38,65.33,72.21,99.34,102.40,106.15,108.98,114.48,120.06,122.62,,,,,,,,,,,,,,,,,Servicio di Telecomunicacion di Aruba (SETAR).,,Servicio di Telecomunicacion di Aruba (SETAR).,,ITU estimate.,,ITU estimate.
